household_id,TAZ,income,hhsize,HHT,auto_ownership,num_workers,sample_rate,chunk_id,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,hh_work_auto_savings_ratio,num_under16_not_at_school,num_travel_active,num_travel_active_adults,num_travel_active_preschoolers,num_travel_active_children,num_travel_active_non_preschoolers,participates_in_jtf_model,joint_tour_frequency,num_hh_joint_tours
617,33,29370,2,1,3,1,1,616,29.37,1,6.01,2.234401176922751,1,2,2,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,-0.33663997,0,2,2,0,0,2,TRUE,0_tours,0
10601,97,209421,7,1,4,3,1,10600,209.421,4,12.86,5.949882436056606,4,4,4,3,2,1,0,1,1,FALSE,TRUE,TRUE,FALSE,-1.167635,0,7,4,2,3,5,TRUE,0_tours,0
20441,1046,105063,2,2,2,1,1,20440,105.063,4,12.86,5.610694007640669,1,2,2,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,1,0,2,2,0,0,2,TRUE,0_tours,0
30777,1077,196676,3,1,0,2,1,30776,196.676,4,12.86,23.2109367726662,1,3,2,1,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,0.85148585,0,3,2,0,1,3,TRUE,0_tours,0
33209,1055,0,1,6,1,-8,1,33208,0,1,6.01,1,9,1,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,-0.052995,0,1,1,0,0,1,FALSE,0_tours,0
44457,956,0,1,6,1,-8,1,44456,0,1,6.01,1.243407453848436,9,1,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,-0.028918333,0,1,1,0,0,1,FALSE,0_tours,0
91729,1625,15186,2,1,1,0,1,91728,15.186,1,6.01,1.1649843667849715,2,2,2,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,0,0,2,2,0,0,2,TRUE,0_tours,0
94121,830,0,1,6,1,-8,1,94120,0,1,6.01,3.2142098160134114,9,1,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,-0.07758083,0,1,1,0,0,1,FALSE,0_tours,0
97169,864,65099,2,1,2,0,1,97168,65.099,3,10.44,6.773509521804122,2,2,2,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,0,0,2,2,0,0,2,TRUE,0_tours,0
128705,1264,64802,4,2,3,1,1,128704,64.802,3,10.44,1.9700552966482232,3,2,1,3,0,2,1,0,0,FALSE,TRUE,FALSE,FALSE,1,0,4,1,0,3,4,TRUE,0_tours,0
133169,1281,627,2,1,0,1,1,133168,0.627,1,6.01,5.03234130774034,1,2,2,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,-0.5400867,0,0,0,0,0,0,FALSE,0_tours,0
156385,1251,319,3,3,0,1,1,156384,0.319,1,6.01,3.0954514665808532,2,2,2,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,-0.16744,1,0,0,0,0,0,FALSE,0_tours,0
165937,1188,0,1,4,1,-8,1,165936,0,1,6.01,6.2846412237521925,9,1,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,-0.059430003,0,1,1,0,0,1,FALSE,0_tours,0
170281,1282,33657,5,2,3,2,1,170280,33.657,2,8.81,2.580206101329636,3,5,5,0,0,0,0,3,0,FALSE,TRUE,FALSE,FALSE,-0.03900166,0,5,5,0,0,5,TRUE,0_tours,0
179769,1212,162443,4,1,3,2,1,179768,162.443,4,12.86,3.4438179912953992,2,4,3,1,0,0,1,1,0,FALSE,TRUE,FALSE,FALSE,-0.26974168,0,3,2,0,1,3,TRUE,0_tours,0
189985,1174,65474,4,1,2,1,1,189984,65.474,3,10.44,25.94822140170743,3,4,2,2,0,0,2,0,0,FALSE,TRUE,TRUE,FALSE,1,0,4,2,0,2,4,TRUE,0_tours,0
192137,740,20173,4,3,3,3,1,192136,20.173,1,6.01,3.9189077891432182,1,4,4,0,0,0,0,1,2,FALSE,TRUE,TRUE,FALSE,1.1713933,0,4,4,0,0,4,TRUE,0_tours,0
201609,778,23673,2,1,2,1,1,201608,23.673,1,6.01,2.7685237621744547,1,2,2,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,-0.2221275,0,2,2,0,0,2,TRUE,1_Shop,1
204905,703,314,4,1,0,1,1,204904,0.314,1,6.01,2.502988426209941,3,3,2,2,0,1,1,0,0,FALSE,TRUE,TRUE,FALSE,-0.24300165,1,1,1,0,0,1,FALSE,0_tours,0
209521,718,120825,3,1,0,2,1,209520,120.825,4,12.86,29.114638960081507,1,3,3,0,0,0,0,1,0,FALSE,TRUE,TRUE,FALSE,0.94585335,0,1,1,0,0,1,FALSE,0_tours,0
211297,724,52582,4,2,3,2,1,211296,52.582,2,8.81,3.5879972674564344,2,4,4,0,0,0,0,1,0,FALSE,TRUE,TRUE,FALSE,3,0,4,4,0,0,4,TRUE,0_tours,0
217889,687,52835,6,2,4,3,1,217888,52.835,2,8.81,9.234033200022683,3,5,4,2,1,0,1,2,1,FALSE,TRUE,TRUE,FALSE,0.601425,1,6,4,1,2,5,TRUE,0_tours,0
219313,688,0,1,6,1,-8,1,219312,0,1,6.01,7.576348586241006,9,1,1,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,0,0,1,1,0,0,1,FALSE,0_tours,0
220521,690,101485,4,1,2,3,1,220520,101.485,4,12.86,19.216170927030145,1,4,4,0,0,0,0,0,2,FALSE,TRUE,TRUE,FALSE,1.302825,0,3,3,0,0,3,TRUE,0_tours,0
223441,744,46317,2,3,0,1,1,223440,46.317,2,8.81,11.644133229353784,1,2,2,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,-0.08910333,0,2,2,0,0,2,TRUE,1_Main,1
223993,745,29997,2,3,0,0,1,223992,29.997,1,6.01,7.006467957338443,2,2,2,0,0,0,0,0,1,FALSE,TRUE,TRUE,FALSE,0,0,1,1,0,0,1,FALSE,0_tours,0
226041,844,90932,5,1,4,2,1,226040,90.932,3,10.44,24.762885661094657,3,4,4,1,1,0,0,1,1,FALSE,TRUE,FALSE,FALSE,-0.40333664,1,5,4,1,1,4,TRUE,0_tours,0
226369,844,9606,6,3,2,0,1,226368,9.606,1,6.01,5.745938800232715,6,2,2,4,1,3,0,0,2,FALSE,TRUE,FALSE,FALSE,0,2,6,2,1,4,5,TRUE,0_tours,0
234889,878,32921,10,3,4,3,1,234888,32.921,2,8.81,41.09466343861532,7,6,6,4,4,1,0,2,3,FALSE,TRUE,TRUE,FALSE,0.40030918,2,6,4,2,2,4,TRUE,0_tours,0
252641,927,149182,4,1,4,3,1,252640,149.182,4,12.86,16.060817457171954,1,4,4,0,0,0,0,1,1,FALSE,TRUE,TRUE,FALSE,1.6171833,0,4,4,0,0,4,TRUE,0_tours,0
274833,1415,124540,2,1,3,2,1,274832,124.54,4,12.86,4.61779861297388,0,2,2,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,0.6792008,0,2,2,0,0,2,TRUE,0_tours,0
277305,1413,97701,3,2,0,3,1,277304,97.701,3,10.44,4.195970785318748,0,3,3,0,0,0,0,0,3,FALSE,TRUE,TRUE,FALSE,2.0933332,0,3,3,0,0,3,TRUE,0_tours,0
291625,1597,0,1,4,0,-8,1,291624,0,1,6.01,4.324009550628568,9,1,1,0,0,0,0,0,1,TRUE,FALSE,TRUE,FALSE,1,0,1,1,0,0,1,FALSE,0_tours,0
293289,1620,91816,2,1,2,2,1,293288,91.816,3,10.44,4.31882809991389,0,2,2,0,0,0,0,2,0,FALSE,TRUE,TRUE,FALSE,2,0,2,2,0,0,2,TRUE,0_tours,0
302649,204,73130,3,1,2,1,1,302648,73.13,3,10.44,7.311225408943061,2,2,2,1,1,0,0,0,0,FALSE,TRUE,TRUE,FALSE,-0.12140667,1,3,2,1,1,2,TRUE,1_Shop,1
306417,212,114971,5,1,1,1,1,306416,114.971,4,12.86,1.2581365429348166,4,2,2,3,1,3,0,0,2,FALSE,TRUE,FALSE,FALSE,0.97866666,0,5,2,1,3,4,TRUE,0_tours,0
315057,193,39368,2,1,2,0,1,315056,39.368,2,8.81,2.324113031267706,2,2,2,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,0,0,2,2,0,0,2,TRUE,0_tours,0
317841,179,32936,4,1,2,1,1,317840,32.936,2,8.81,3.712021017589047,3,2,2,2,2,0,0,0,1,FALSE,TRUE,TRUE,FALSE,-0.38217333,1,4,2,2,2,2,TRUE,0_tours,0
323065,143,104520,4,1,3,1,1,323064,104.52,4,12.86,4.262966688943161,3,4,4,0,0,0,0,1,1,FALSE,TRUE,TRUE,FALSE,1,0,4,4,0,0,4,TRUE,1_Disc,1
332353,251,41629,7,1,4,2,1,332352,41.629,2,8.81,50,5,2,2,5,2,3,0,0,0,FALSE,TRUE,TRUE,FALSE,2,2,5,2,0,3,5,TRUE,0_tours,0
332593,252,65019,3,1,3,2,1,332592,65.019,3,10.44,21.431374346565647,1,3,2,1,0,0,1,0,0,FALSE,TRUE,TRUE,FALSE,2,0,3,2,0,1,3,TRUE,0_tours,0
334225,271,58015,2,1,3,2,1,334224,58.015,2,8.81,50,0,2,2,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,-0.33705333,0,2,2,0,0,2,TRUE,0_tours,0
340113,284,31859,5,1,4,2,1,340112,31.859,2,8.81,6.9838181206824554,3,3,3,2,0,2,0,1,0,FALSE,TRUE,TRUE,FALSE,0.7435566,0,5,3,0,2,5,TRUE,1_Disc,1
346625,286,122127,5,1,1,2,1,346624,122.127,4,12.86,8.980631059356885,3,2,2,3,2,2,0,0,1,FALSE,TRUE,TRUE,FALSE,-1.158835,0,4,1,2,3,2,TRUE,0_tours,0
348081,294,168433,3,1,3,3,1,348080,168.433,4,12.86,6.438302395746512,0,3,3,0,0,0,0,0,1,FALSE,TRUE,TRUE,FALSE,1.5783733,0,3,3,0,0,3,TRUE,0_tours,0
348353,294,140555,2,1,2,1,1,348352,140.555,4,12.86,4.6238252800120065,1,2,2,0,0,0,0,2,0,FALSE,TRUE,TRUE,FALSE,-0.24049164,0,2,2,0,0,2,TRUE,0_tours,0
