trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum
70441,214,31,8805,school,1,TRUE,1,school,42,3,NA,8,SHARED3FREE,-0.8667940150077247
70445,214,31,8805,school,1,FALSE,1,Home,3,42,NA,15,SHARED3FREE,-0.8667583509058985
821537,2504,617,102692,othmaint,1,TRUE,1,othmaint,58,33,NA,6,SHARED3FREE,2.1502440033512884
821541,2504,617,102692,othmaint,1,FALSE,1,Home,33,58,NA,6,DRIVEALONEFREE,2.150243163882758
2738457,8348,2411,342307,work,1,TRUE,1,work,32,43,NA,7,SHARED3FREE,1.10685007216062
2738461,8348,2411,342307,work,1,FALSE,1,Home,43,32,NA,17,DRIVEALONEFREE,1.1075095761487836
3402065,10372,3034,425258,eatout,1,TRUE,1,eatout,64,47,NA,9,SHARED3FREE,2.5143351007843533
3402069,10372,3034,425258,eatout,1,FALSE,1,Home,47,64,NA,11,SHARED3FREE,2.5146126213391224
3402121,10372,3034,425265,eatout,1,TRUE,1,eatout,56,47,NA,12,SHARED3FREE,0.19142327178190166
3402125,10372,3034,425265,eatout,1,FALSE,1,Home,47,56,NA,14,SHARED2FREE,0.17884132922181223
3402281,10372,3034,425285,shopping,1,TRUE,1,shopping,44,47,NA,16,SHARED3FREE,2.673674375323534
3402285,10372,3034,425285,shopping,1,FALSE,1,Home,47,44,NA,16,SHARED3FREE,2.673674375323534
8295041,25289,7651,1036880,school,1,TRUE,1,school,118,104,NA,8,SHARED3FREE,-1.6223939745822544
8295045,25289,7651,1036880,school,1,FALSE,2,shopping,195,118,3.8199929447049614,14,WALK_LOC,-1.8810140741833348
8295046,25289,7651,1036880,school,2,FALSE,2,Home,104,195,NA,19,WALK_LOC,-1.8453142351746734
9051737,27596,8340,1131467,school,1,TRUE,1,school,123,121,NA,8,WALK,-1.8257939329214905
9051741,27596,8340,1131467,school,1,FALSE,1,Home,121,123,NA,16,WALK,-1.8257939329214905
10554633,32178,9671,1319329,school,1,TRUE,1,school,79,90,NA,7,WALK,-1.7184499403834308
10554637,32178,9671,1319329,school,1,FALSE,1,Home,90,79,NA,15,WALK,-1.7184495358909908
11742385,35799,10601,1467798,work,1,TRUE,2,othmaint,38,97,9.613044529968036,9,DRIVEALONEFREE,-0.4224035067533778
11742386,35799,10601,1467798,work,2,TRUE,2,work,32,38,NA,9,DRIVEALONEFREE,-0.0877626476795745
11742389,35799,10601,1467798,work,1,FALSE,1,Home,97,32,NA,18,DRIVEALONEFREE,-0.4522741493189676
11828785,36063,10671,1478598,othdiscr,1,TRUE,1,othdiscr,47,97,NA,11,SHARED3FREE,-1.155704548917424
11828789,36063,10671,1478598,othdiscr,1,FALSE,2,othmaint,71,47,8.664042419546009,13,SHARED2FREE,-0.33770631361337133
11828790,36063,10671,1478598,othdiscr,2,FALSE,2,Home,97,71,NA,13,SHARED3FREE,-0.7260662382401254
11828953,36063,10671,1478619,social,1,TRUE,1,social,82,97,NA,18,DRIVEALONEFREE,-0.579705488291931
